m,n
198,178
189,109
83,60
116,109
187,47
163,23
133,129
148,130
172,173
67,63
80,102
92,195
25,199
130,31
38,73
166,152
163,120
101,107
68,104
113,119
88,194
110,11
73,115
27,125
178,125
104,105
98,14
154,155
55,56
100,161
26,153
140,66
89,48
93,89
151,144
73,29
79,61
144,191
192,159
39,167
142,80
160,184
200,31
194,189
188,99
132,43
42,182
88,58
40,55
36,120
29,80
143,160
26,114
133,15
200,48
91,175
160,167
177,148
46,36
179,62
74,12
96,84
150,110
17,33
53,72
54,13
116,178
126,195
19,140
141,127
44,64
83,53
137,103
188,143
142,120
71,11
15,125
78,41
131,119
88,198
32,171
87,90
123,121
105,99
59,44
122,17
55,145
200,136
169,131
127,119
44,26
59,87
152,73
111,129
174,117
91,74
61,170
151,104
198,72
131,47
57,137
54,157
95,14
134,28
156,122
164,52
138,54
181,170
50,126
184,17
69,63
100,105
87,34
163,23
88,65
75,195
141,127
143,89
120,36
126,159
40,115
195,88
158,84
116,103
115,53
196,41
157,92
19,69
98,33
137,144
98,184
152,133
172,152
56,111
164,103
200,109
175,178
56,30
163,110
85,58
81,58
198,58
111,156
60,52
116,162
96,145
158,26
200,139
68,140
101,20
194,189
12,111
126,137
28,29
195,32
182,18
66,156
167,167
196,84
58,145
21,185
98,178
169,16
28,62
42,43
145,166
97,48
80,106
173,109
143,169
111,123
66,139
114,126
85,116
64,151
141,29
167,141
39,99
47,112
12,118
142,89
184,122
57,135
56,137
132,149
145,20
104,199
197,40
173,41
97,44
182,197
122,103
131,144
138,14
143,79
51,198
132,32
199,95
76,152
45,182
182,110
42,123
142,105
158,151
67,170
41,112
154,103
164,166
156,17
164,192
23,87
42,28
49,189
12,44
96,122
28,46
172,159
199,160
30,193
18,133
145,44
60,68
49,134
138,75
166,93
56,52
45,124
12,84
61,148
180,194
178,146
84,140
92,17
51,123
77,122
75,62
164,121
81,97
127,190
77,88
173,162
137,145
123,108
147,193
119,121
173,196
161,36
126,26
173,142
51,112
37,10
36,91
97,67
105,71
69,117
155,184
145,149
195,34
175,146
98,81
157,179
175,184
156,12
23,34
43,166
25,126
106,76
101,194
193,67
192,152
127,90
185,91
122,40
165,83
160,164
82,55
87,128
148,169
76,148
188,89
147,43
125,28
161,187
26,158
183,112
67,105
200,63
196,98
167,173
13,167
34,168
24,63
62,150
139,140
164,169
121,138
88,72
118,37
183,45
144,168
137,23
151,121
61,43
150,185
27,49
114,156
121,168
163,153
184,91
165,182
41,95
108,173
46,139
41,61
150,20
178,27
59,143
197,197
117,162
83,104
41,119
155,18
65,146
64,134
126,196
150,124
104,159
81,180
21,141
134,98
113,195
17,117
77,60
182,112
61,112
47,84
56,48
146,96
177,161
195,151
190,96
41,109
193,69
169,196
199,191
194,190
17,126
141,178
76,13
34,49
192,67
12,87
186,124
28,147
112,118
156,100
123,170
191,188
140,122
42,71
183,31
35,137
176,32
195,138
113,166
16,22
12,24
19,26
84,112
131,34
189,86
153,180
122,194
145,98
55,84
67,173
52,42
145,143
67,16
90,191
118,190
41,179
138,29
179,141
180,33
133,136
120,167
37,86
58,144
102,134
134,75
75,93
192,179
155,18
14,63
179,88
64,123
15,177
158,82
58,138
57,16
144,11
115,153
52,59
189,84
193,169
57,28
166,66
11,125
112,83
149,161
186,115
180,144
27,115
179,186
21,124
188,22
97,51
66,130
193,170
56,109
109,127
155,176
135,186
190,144
49,194
173,27
116,123
112,56
82,84
54,157
136,164
96,172
121,160
38,172
174,123
148,71
69,107
143,107
75,103
100,126
80,12
21,67
172,26
182,23
63,190
59,85
150,119
131,175
90,76
154,53
21,197
112,177
103,66
127,125
15,79
120,200
48,30
124,110
147,41
77,131
84,136
112,85
190,150
104,38
52,124
77,175
41,126
123,52
27,163
72,35
12,49
157,22
176,67
27,95
170,85
21,77
19,94
134,97
66,94
98,128
81,144
39,173
128,47
31,103
107,130
75,56
144,129
37,50
129,109
101,186
86,56
171,24
142,95
71,126
130,86
171,38
75,41
61,176
130,67
94,164
66,68
58,116
45,148
147,14
101,82
87,150
11,177
111,99
189,33
58,48
169,191
123,18
146,127
49,45
95,194
186,101
64,193
104,39
150,15
188,104
71,84
115,27
43,134
54,24
16,68
39,32
10,75
23,193
116,81
97,76
33,170
190,39
124,14
20,67
64,86
181,27
17,44
32,139
62,55
93,191
141,103
194,165
32,105
100,182
166,133
17,107
78,105
94,36
97,106
82,92
96,55
82,164
21,159
128,186
14,54
24,12
17,109
144,122
92,97
96,143
37,115
23,74
193,114
58,138
36,47
97,184
105,178
166,193
22,73
144,161
108,126
185,45
169,83
162,32
168,171
132,54
120,78
143,131
86,36
116,79
142,105
193,182
53,43
42,142
70,15
51,103
62,200
47,71
163,157
165,19
118,29
173,132
129,102
192,89
13,54
24,125
81,177
65,146
200,130
116,41
88,132
119,50
97,151
183,143
137,56
66,16
82,126
20,174
119,108
127,171
119,58
87,152
110,103
101,20
108,79
60,65
126,85
81,147
145,111
89,106
59,148
47,156
180,191
111,57
54,14
63,70
187,110
128,29
147,13
71,158
85,126
40,154
159,81
156,24
27,109
156,172
52,125
186,173
134,141
89,145
135,94
111,196
84,183
187,197
97,126
163,57
113,113
76,126
15,69
73,164
190,28
119,118
50,104
63,93
112,94
102,43
146,199
106,24
148,89
153,81
92,100
122,116
165,53
117,46
23,188
57,112
76,167
140,142
156,121
97,33
107,99
131,172
106,123
135,12
133,148
123,151
68,20
190,115
113,147
20,174
103,190
90,144
72,112
84,144
195,200
123,71
10,150
198,166
32,73
97,156
131,108
195,177
141,193
112,37
69,66
150,34
105,96
65,15
129,43
165,174
136,186
83,117
176,106
124,46
179,171
108,66
88,175
79,181
163,187
108,136
15,103
106,88
95,73
167,42
85,145
32,176
118,53
17,122
81,152
68,73
197,175
29,61
147,14
121,153
74,110
112,92
40,16
42,39
110,56
177,57
153,167
50,94
34,162
173,176
181,35
166,166
82,31
92,133
103,53
107,119
194,141
20,90
37,18
95,122
157,35
134,92
163,144
190,74
66,165
43,198
36,31
54,126
72,106
99,59
155,16
45,65
169,86
78,175
13,83
123,181
10,57
97,112
90,54
43,195
42,152
150,82
53,76
117,32
170,167
50,29
92,74
60,111
16,31
68,29
152,22
130,87
178,155
152,30
187,30
139,144
108,93
34,138
18,32
11,44
16,194
10,94
198,48
26,96
112,191
48,21
184,128
110,132
199,144
26,26
196,29
163,109
73,177
122,87
52,189
96,160
62,58
166,172
105,12
106,139
110,183
136,18
198,183
78,148
172,172
52,98
15,12
112,68
87,45
98,153
173,147
76,37
43,106
165,10
122,125
133,106
131,107
181,133
51,30
17,195
110,17
20,90
93,192
105,137
198,127
51,198
72,24
11,72
94,33
64,150
154,134
153,53
99,49
128,84
114,21
87,184
114,75
122,184
157,26
52,28
31,10
124,146
140,30
171,156
31,191
136,120
200,72
131,61
61,115
132,169
194,112
184,59
159,23
29,173
146,17
132,45
50,67
123,188
76,161
107,50
62,67
11,146
60,110
41,103
175,138
60,102
57,144
24,39
29,66
85,79
25,200
86,200
68,93
153,15
200,125
22,193
142,118
23,162
140,46
89,181
46,20
139,105
165,96
35,150
58,60
72,75
179,23
20,129
70,184
173,41
198,192
106,108
115,22
17,88
61,11
95,85
142,26
192,132
65,102
11,142
159,149
135,109
54,77
144,193
52,182
102,32
185,27
100,190
186,144
36,49
122,48
141,77
18,175
91,178
167,12
43,67
29,110
62,182
192,135
145,104
129,147
35,188
73,14
155,48
185,183
109,19
75,143
115,15
147,55
57,13
63,66
96,14
170,58
96,66
68,197
29,177
177,15
56,197
166,76
183,127
14,178
107,104
81,175
24,43
58,50
103,118
145,44
40,109
64,33
10,41
22,197
186,31
182,81
167,50
178,193
131,65
196,31
139,79
83,30
122,155
117,79
164,98
77,181
60,77
158,177
138,69
124,182
189,25
77,151
23,172
96,39
156,73
47,144
26,75
116,111
12,16
89,109
83,115
194,135
96,161
62,65
146,93
170,10
58,145
102,74
165,37
199,144
89,26
38,124
155,189
67,93
189,134
147,51
106,95
96,175
13,145
97,88
182,23
22,129
96,72
101,149
110,11
37,14
65,71
53,14
16,144
53,22
86,82
72,67
66,182
152,114
194,92
145,104
122,51
15,87
130,12
156,92
195,12
18,93
142,94
146,57
73,89
121,92
153,184
127,24
13,54
62,78
134,48
88,109
113,34
160,58
56,73
127,66
101,135
89,166
16,49
118,130
178,119
19,146
162,113
157,83
171,85
153,199
27,200
122,116
182,89
147,185
145,136
188,149
186,43
190,169
111,94
151,42
185,19
135,15
152,44
142,149
94,13
31,76
200,58
145,24
73,140
170,164
159,52
143,179
81,79
85,171
177,16
20,157
137,85
106,51
91,85
51,196
70,149
48,189
191,19
97,135
87,167
132,177
56,20
86,98
135,149
106,70
128,180
86,29
100,108
70,57
14,158
176,30
56,40
134,28
159,197
174,148
147,11
185,122
184,110
71,61
41,42
181,98
108,35
117,137
45,153
104,175
139,103
20,45
145,23
173,24
125,182
28,126
183,54
172,101
160,151
183,68
157,26
199,69
140,197
22,134
164,155
121,83
105,126
194,27
31,119
110,131
152,37
122,196
86,88
10,136
70,178
162,10
32,114
87,104
118,178
88,22
81,164
105,54
91,151
135,105
40,16
198,11
71,112
168,25
175,41
133,193
92,77
134,93
98,136
10,113
174,59
30,143
62,84
90,70
134,57
24,134
26,194
117,37
82,18
91,103
180,158
184,115
192,35
20,175
86,64
16,61
74,151
152,168
44,36
83,169
26,70
125,12
96,45
71,144
138,41
43,129
91,52
124,112
141,139
166,132
135,113
53,119
168,41
116,105
23,17
185,29
26,54
99,94
102,198
166,182
192,128
169,87
189,146
33,119
86,22
185,141
185,50
82,82
128,133
93,133
65,62
98,101
135,25
99,28
59,10
75,88
38,127
104,67
84,159
53,111
164,62
110,33
35,139
108,88
199,18
163,140
95,123
197,109
131,93
141,102
111,186
45,37
35,196
125,26
12,186
86,165
67,92
194,50
130,92
196,11
31,152
147,100
50,19
93,16
85,51
113,150
192,88
164,12
88,89
15,140
60,192
109,84
109,91
161,90
195,90
38,163
46,64
184,150
31,175
41,23
93,191
182,91
138,49
15,114
108,148
99,176
164,177
27,91
70,15
16,151
134,106
117,72
142,27
152,169
127,45
184,11
143,120
200,87
198,126
179,30
41,68
31,123
113,160
35,74
147,60
144,33
125,170
50,67
87,183
167,93
110,13
189,164
198,120
198,134
145,149
13,120
20,128
29,44
167,62
23,87
123,10
